mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.9739493529001871,0.24611346743084184,0.049507459004720054,0.004989910089177813,,sqrt,200,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.9981532779316713,0.9730378578024007,0.9986842105263158,0.9899584487534626,0.01196662778883794,13
2.5850983460744223,0.28799646038712773,0.09443187713623047,0.00386558262167125,,sqrt,400,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 400}",0.9983379501385041,0.9716528162511542,0.9986842105263157,0.989558325638658,0.012661896221433626,16
4.227667808532715,0.1792748902921508,0.13134892781575522,0.002618471569150652,,sqrt,600,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 600}",0.9985226223453371,0.9715604801477378,0.9985902255639098,0.9895577760189949,0.012726039880417525,18
2.057075262069702,0.16294745906412822,0.05436388651529948,0.006506971647671281,,0.5,200,"{'max_depth': None, 'max_features': 0.5, 'n_estimators': 200}",0.9971375807940904,0.9759926131117267,0.9985902255639098,0.9905734731565756,0.010327266625860716,8
4.1041044394175215,0.2848558885672888,0.09173870086669922,0.00558004565000222,,0.5,400,"{'max_depth': None, 'max_features': 0.5, 'n_estimators': 400}",0.9973222530009234,0.9751615881809788,0.9994360902255639,0.990639977135822,0.010978842392867266,6
6.392706394195557,0.2838009445907817,0.13911191622416177,0.010741212730274478,,0.5,600,"{'max_depth': None, 'max_features': 0.5, 'n_estimators': 600}",0.9974145891043398,0.9737765466297321,0.9994360902255639,0.9902090753198786,0.011648823003781481,11
3.223493734995524,0.18923875126712578,0.05456240971883138,0.003714379416803697,,1.0,200,"{'max_depth': None, 'max_features': 1.0, 'n_estimators': 200}",0.9968605724838412,0.9735918744228993,0.9982142857142857,0.989555577540342,0.011301563248623593,20
6.412840922673543,0.3221604301260622,0.09302409489949544,0.0071372888604811545,,1.0,400,"{'max_depth': None, 'max_features': 1.0, 'n_estimators': 400}",0.9966759002770083,0.9725761772853185,0.9984962406015037,0.9892494393879435,0.011813175175240229,25
9.599910736083984,0.5240341865843774,0.137818972269694,0.006376971599685867,,1.0,600,"{'max_depth': None, 'max_features': 1.0, 'n_estimators': 600}",0.9966759002770083,0.9729455216989844,0.9984022556390978,0.9893412258716968,0.011614916047863574,22
1.3812740643819172,0.042262695607726025,0.055857340494791664,0.00269689582765637,5,sqrt,200,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.9983379501385042,0.9771006463527239,0.9981203007518796,0.9911862990810358,0.009960456897178562,1
2.7269445260365806,0.06345618282076258,0.09046705563863118,0.004426992926953417,5,sqrt,400,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 400}",0.9985226223453371,0.9759926131117267,0.9984962406015038,0.9910038253528559,0.010614535433711365,2
4.138766924540202,0.06807814288510067,0.13572009404500326,0.0034304615106787143,5,sqrt,600,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 600}",0.9985226223453371,0.9750692520775623,0.9984962406015038,0.9906960383414677,0.011049811784292629,4
2.0461784998575845,0.08144798784926284,0.05383467674255371,0.0035460972543249715,5,0.5,200,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200}",0.9974145891043398,0.9759002770083103,0.9992481203007518,0.9908543288044673,0.01060057256326796,3
4.107099135716756,0.19570839268083395,0.09257284800211589,0.0017872208920948595,5,0.5,400,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 400}",0.9974145891043399,0.9751615881809788,0.9994360902255639,0.9906707558369607,0.010997646043034187,5
6.218032280604045,0.2512203467798481,0.13251765569051108,0.0035800294139871126,5,0.5,600,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 600}",0.9974145891043398,0.9737765466297322,0.999624060150376,0.9902717319614828,0.01169868354196072,10
3.0966111024220786,0.15539089332355357,0.0493615468343099,0.0004973684081765806,5,1.0,200,"{'max_depth': 5, 'max_features': 1.0, 'n_estimators': 200}",0.997229916897507,0.9736842105263157,0.9983082706766917,0.9897407993668382,0.011362254635809513,15
6.296358505884807,0.3010931663099989,0.09830292065938313,0.006669514673533547,5,1.0,400,"{'max_depth': 5, 'max_features': 1.0, 'n_estimators': 400}",0.9970452446906741,0.9724838411819021,0.9983082706766917,0.989279118849756,0.01188724309545242,24
9.184927860895792,0.4061003497857923,0.09333610534667969,0.0057035688891839045,5,1.0,600,"{'max_depth': 5, 'max_features': 1.0, 'n_estimators': 600}",0.9968605724838412,0.9725761772853185,0.9981203007518797,0.9891856835070131,0.011755948891907396,27
1.3789174556732178,0.031769038914006474,0.05236196517944336,0.0038189183514570524,10,sqrt,200,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.9981532779316713,0.9730378578024007,0.9986842105263158,0.9899584487534626,0.01196662778883794,13
2.7253557046254477,0.05549073987542029,0.09466330210367839,0.004186464716516793,10,sqrt,400,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 400}",0.9983379501385041,0.9716528162511542,0.9986842105263157,0.989558325638658,0.012661896221433626,16
4.158096234003703,0.09269676656830603,0.136427640914917,0.007779288953131229,10,sqrt,600,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 600}",0.9985226223453371,0.9715604801477378,0.9985902255639098,0.9895577760189949,0.012726039880417525,18
2.098559856414795,0.09984490939936988,0.050860087076822914,0.001189271406515723,10,0.5,200,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 200}",0.9971375807940904,0.9759926131117267,0.9985902255639098,0.9905734731565756,0.010327266625860716,8
4.211292028427124,0.22914322152773006,0.08969394365946452,0.005052141231367777,10,0.5,400,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 400}",0.9973222530009234,0.9751615881809788,0.9994360902255639,0.990639977135822,0.010978842392867266,6
5.314235687255859,0.25889923314664814,0.06133516629536947,0.005926527098805234,10,0.5,600,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 600}",0.9974145891043398,0.9737765466297321,0.9994360902255639,0.9902090753198786,0.011648823003781481,11
3.1786022186279297,0.16376674358121907,0.047574520111083984,0.0032847826798114072,10,1.0,200,"{'max_depth': 10, 'max_features': 1.0, 'n_estimators': 200}",0.9968605724838412,0.9735918744228993,0.9982142857142857,0.989555577540342,0.011301563248623593,20
4.429179032643636,0.47464656190451504,0.02749911944071452,0.005168315393797539,10,1.0,400,"{'max_depth': 10, 'max_features': 1.0, 'n_estimators': 400}",0.9966759002770083,0.9725761772853185,0.9984962406015037,0.9892494393879435,0.011813175175240229,25
4.129717032114665,0.6053681548727182,0.030100266138712566,0.00018042058064582166,10,1.0,600,"{'max_depth': 10, 'max_features': 1.0, 'n_estimators': 600}",0.9966759002770083,0.9729455216989844,0.9984022556390978,0.9893412258716968,0.011614916047863574,22
